model_id,generic_node,LisaName,Total_Selections_In_Ensemble,Akaike_Importance_Weight,Node2,order
DAG1A_long,Abundance,X07_DFA_cpue_IntSprJunHW,34944,1,Abundance,0
DAG1A_long,Growth,X06_DFA_IGF_mu,17472,1,Growth,0.5
DAG1A_long,Growth,X06_Lmu_IntSprJunH,17472,0,Growth,0.5
DAG1A_long,PreyNCC,X05_DFA_abundSardine,2184,0.9733,Competitor,0.75
DAG1A_long,PreyAK,X14_pinkSalmonAsia,2496,0.0292,Competitor,0.75
DAG1A_long,PreyAK,X14_pinkSalmonNorthAmerica,2496,0.0266,Competitor,0.75
DAG1A_long,PreyNCC,X04_marketsquid_GAM,2184,0.0266,Competitor,0.75
DAG1A_long,PreyAK,X14_pinkSalmon,2496,0.0141,Competitor,0.75
DAG1A_long,PreyAK,X13_DFA_WGOA_DFA_midTrophic,2496,0.0115,Competitor,0.75
DAG1A_long,PreyNCC,X05_herring_GAM,2184,1e-4,Competitor,0.75
DAG1A_long,PreyNCC,X04_CaliforniaMarketSquid_,2184,0,Competitor,0.75
DAG1A_long,PreyNCC,X04_PacificPompano_,2184,0,Competitor,0.75
DAG1A_long,PreyNCC,X04_Sablefish__JSOES,2184,0,Competitor,0.75
DAG1A_long,PreyNCC,X05_anchovy_GAM,2184,0,Competitor,0.75
DAG1A_long,PreyNCC,X05_herring_NCC,2184,0,Competitor,0.75
DAG1A_long,PreyNCC,X01_Cassin_s_aukl_WS,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X01_DFA_NHL_krill,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X01_Red_necked_phal_WS,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X01_Red_phal_WS,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X01_Sabine_gull_WS,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X02_DFA_SeaNettle,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,2184,0,PreyNCC,1
DAG1A_long,PreyNCC,X03_HakeAge1,2184,0,PreyNCC,1
DAG1A_long,PredNCC,X09_DFA_HakeAge5Plus,5824,0.753,PredNCC,2
DAG1A_long,PredNCC,X08_Loons_8_WS,5824,0.2255,PredNCC,2
DAG1A_long,PredNCC,X08_Large_gulls_7_WS,5824,0.0068,PredNCC,2
DAG1A_long,PredNCC,X08_DFA_DC_corm_3_WS,5824,0.006,PredNCC,2
DAG1A_long,PredNCC,X11_DFA_Harbour_p_WS,5824,0.0046,PredNCC,2
DAG1A_long,PredNCC,X09_DFA_ChinAbundSnakeFall,5824,0.0041,PredNCC,2
DAG1A_long,PreyAK,X12_copepodBiomass_WGoA,2496,0.2713,PreyAK,3
DAG1A_long,PreyAK,X12_DFA_biomassEuphShelfSum,2496,0.2704,PreyAK,3
DAG1A_long,PreyAK,X13_DFA_WGOA_DFA_seabirds,2496,0.1037,PreyAK,3
DAG1A_long,PreyAK,X13_hexagram_EAI,2496,0.0925,PreyAK,3
DAG1A_long,PreyAK,X13_pollockBiomassGoAage3plus_predAK,2496,0.077,PreyAK,3
DAG1A_long,PreyAK,X13_ammod_WAI,2496,0.0373,PreyAK,3
DAG1A_long,PreyAK,X12_copepodCom_EGoA,2496,0.0183,PreyAK,3
DAG1A_long,PreyAK,X13_gadid_WAI,2496,0.0174,PreyAK,3
DAG1A_long,PreyAK,X12_copepodCom_WGoA,2496,0.0154,PreyAK,3
DAG1A_long,PreyAK,X13_hexagram_WAI,2496,0.0152,PreyAK,3
DAG1A_long,PredAK,X15_DFA_sleeperSharks,2688,0.2614,PredAK,4
DAG1A_long,PredAK,X10_Harbour_s_2yrLead_WS,2688,0.2551,PredAK,4
DAG1A_long,PredAK,X15_sablefishBiomass_predAK,2688,0.0945,PredAK,4
