"model_type","terms","n","aic","bic","cfi","rmsea","sar_r2","term1","term2","term3","b1","p1","b2","p2","b3","p3","n_terms","has_ishark","has_issl","has_icsl","has_any_index","index_count","model_label","delta_aic_vs_base","delta_r2_vs_base","delta_aic_global","aic_weight","exp_sign_1","exp_sign_2","exp_sign_3","pass_sign_1","pass_sign_2","pass_sign_3","n_valid_terms","n_passed_terms","prop_model_signs_met","all_signs_met"
"3var_global","x13_wgoa_cap_pcod + x15_arrowtooth_flounder_biomass_pred_ak + x15_icsl_cslchin_ratio",24,98.2152223273281,108.81770680046,1,0,0.827020746210019,"x13_wgoa_cap_pcod","x15_arrowtooth_flounder_biomass_pred_ak","x15_icsl_cslchin_ratio",0.654773677156967,2.62547761309406e-11,-1.07536810576365,1.7963408538435e-13,-0.995482244602539,4.97668573018473e-12,3,FALSE,FALSE,TRUE,TRUE,1,"M5963",-28.0526081887998,0.526035582247128,0,0.373215200487687,"Positive","Negative","Negative",TRUE,TRUE,TRUE,3,3,1,TRUE
"3var_global","x21_pdo_djf + x15_dfa_sleeper_shark_bsai_pred_ak + x15_icsl_cslchin_ratio",24,101.516430969874,112.118915443005,1,0,0.810126210640417,"x21_pdo_djf","x15_dfa_sleeper_shark_bsai_pred_ak","x15_icsl_cslchin_ratio",-0.297543979555343,0.00298169967608164,-0.890776806053424,1.54895429815838e-10,-0.757667032012608,1.40451444252676e-07,3,FALSE,FALSE,TRUE,TRUE,1,"M6458",-24.7513995462541,0.509141046677527,3.3012086425457,0.0716326429366731,"Negative","Negative","Negative",TRUE,TRUE,TRUE,3,3,1,TRUE
"3var_global","x12_copepod_com_e_go_a + x15_dfa_sleeper_shark_bsai_pred_ak + x15_icsl_cslchin_ratio",24,102.135705528232,112.738190001364,1,0,0.810490631267391,"x12_copepod_com_e_go_a","x15_dfa_sleeper_shark_bsai_pred_ak","x15_icsl_cslchin_ratio",0.267627847816171,0.00472279627478867,-1.01803372741284,1.72084568816899e-13,-0.943881349737274,6.41751096708276e-11,3,FALSE,FALSE,TRUE,TRUE,1,"M1683",-24.1321249878958,0.509505467304501,3.92048320090407,0.0525578042811109,"Positive","Negative","Negative",TRUE,TRUE,TRUE,3,3,1,TRUE
"3var_global","x13_mid_il_capelin + x15_arrowtooth_flounder_biomass_pred_ak + x15_icsl_cslchin_ratio",24,102.244089998621,112.846574471753,0.950406104374138,0.156277927393006,0.790897424864414,"x13_mid_il_capelin","x15_arrowtooth_flounder_biomass_pred_ak","x15_icsl_cslchin_ratio",0.641314991778637,5.91682125516968e-09,-1.00791176469602,1.05838893205146e-10,-1.00862619963884,1.99463556782575e-10,3,FALSE,FALSE,TRUE,TRUE,1,"M6648",-24.0237405175065,0.489912260901523,4.02886767129334,0.0497853798010335,"Positive","Negative","Negative",TRUE,TRUE,TRUE,3,3,1,TRUE
"3var_global","x13_dfa_wgoa_dfa_seabirds + x15_arrowtooth_flounder_biomass_pred_ak + x15_icsl_cslchin_ratio",24,102.392683640686,112.995168113817,0.971695414504266,0.116568749046124,0.797271956642481,"x13_dfa_wgoa_dfa_seabirds","x15_arrowtooth_flounder_biomass_pred_ak","x15_icsl_cslchin_ratio",-0.59130186697691,7.109232313951e-09,-0.979041719406083,2.80680811926004e-10,-1.03276065873316,1.28952182265607e-10,3,FALSE,FALSE,TRUE,TRUE,1,"M4804",-23.8751468754421,0.496286792679591,4.1774613133577,0.0462205517202084,"Positive","Negative","Negative",FALSE,TRUE,TRUE,3,2,0.666666666666667,FALSE
"3var_global","x12_dfa_biomass_euph_shelf_sum + x15_arrowtooth_flounder_biomass_pred_ak + x15_pacific_cod_biomass_pred_ak",24,103.822104361949,114.42458883508,1,0,0.788666259444451,"x12_dfa_biomass_euph_shelf_sum","x15_arrowtooth_flounder_biomass_pred_ak","x15_pacific_cod_biomass_pred_ak",-0.935132684878655,5.95812288395337e-12,-0.916239879382308,1.25531363082132e-10,0.762581531224095,5.04569290793455e-08,3,FALSE,FALSE,FALSE,FALSE,0,"M2603",-22.4457261541794,0.487681095481561,5.60688203462047,0.0226172792102695,"Positive","Negative","Negative",FALSE,TRUE,FALSE,3,1,0.333333333333333,FALSE
"3var_global","x13_hexagram_wai + x21_sst_wgoa_coastwatch_junjulaug + x13_stka_herr_matbiom",24,104.059287010785,114.661771483917,0.975931677643604,0.105243811734408,0.776172011204741,"x13_hexagram_wai","x21_sst_wgoa_coastwatch_junjulaug","x13_stka_herr_matbiom",0.37232412983849,0.000982752614965721,-0.60005332500941,1.11409115044481e-07,0.515489055872134,7.41528878744901e-07,3,FALSE,FALSE,FALSE,FALSE,0,"M4048",-22.2085435053428,0.475186847241851,5.84406468345708,0.0200880047146223,"Positive","Negative","Positive",TRUE,TRUE,TRUE,3,3,1,TRUE
"3var_global","x10_californian_s_l_2yr_lead_ws + x15_dfa_sleeper_shark_bsai_pred_ak + x15_icsl_cslchin_ratio",24,104.232543399495,114.835027872626,1,0,0.787587337825736,"x10_californian_s_l_2yr_lead_ws","x15_dfa_sleeper_shark_bsai_pred_ak","x15_icsl_cslchin_ratio",0.476297686915486,0.0212403705898756,-0.741930256900323,2.87445493249994e-05,-1.08281229357834,8.27611978948539e-10,3,FALSE,FALSE,TRUE,TRUE,1,"M6852",-22.035287116633,0.486602173862846,6.01732107216679,0.0184210616004567,"Negative","Negative","Negative",FALSE,TRUE,TRUE,3,2,0.666666666666667,FALSE
"3var_global","x15_arrowtooth_flounder_biomass_pred_ak + x15_dfa_sleeper_shark_bsai_pred_ak + x15_icsl_cslchin_ratio",24,104.529509597468,115.131994070599,0.990067415088422,0.0667576299511468,0.786133741298889,"x15_arrowtooth_flounder_biomass_pred_ak","x15_dfa_sleeper_shark_bsai_pred_ak","x15_icsl_cslchin_ratio",-0.379028718894194,0.0261425852292618,-0.842441714120785,8.87022422180195e-08,-1.04251136821919,7.9171313949189e-10,3,FALSE,FALSE,TRUE,TRUE,1,"M7054",-21.73832091866,0.485148577335998,6.31428727013983,0.0158792236043862,"Negative","Negative","Negative",TRUE,TRUE,TRUE,3,3,1,TRUE
"3var_global","x21_sst_wgoa_coastwatch_junjulaug + x15_dfa_sleeper_shark_bsai_pred_ak + x15_icsl_cslchin_ratio",24,104.728471011526,115.330955484658,1,0,0.781571769379717,"x21_sst_wgoa_coastwatch_junjulaug","x15_dfa_sleeper_shark_bsai_pred_ak","x15_icsl_cslchin_ratio",-0.289365042485257,0.0300297806581138,-0.821304410462994,4.58687262838708e-07,-0.669310294123508,0.000114412399493169,3,FALSE,FALSE,TRUE,TRUE,1,"M6322",-21.5393595046018,0.480586605416827,6.51324868419806,0.0143755788857151,"Negative","Negative","Negative",TRUE,TRUE,TRUE,3,3,1,TRUE
